lfq_intensity_lean_1	lfq_intensity_lean_2	lfq_intensity_lean_3	lfq_intensity_lean_4	lfq_intensity_ob_1	lfq_intensity_ob_2	lfq_intensity_ob_3	lfq_intensity_ob_4
Wbscr27	27.7024150723436	27.2776519472053	27.9292334499852	28.3960109284891	28.2327518815277	27.1851399077671	28.4107303282058	28.5058098255068
Ube2k	28.3852317306629	28.8094332197786	28.3707674263656	28.6236689802606	28.6214604375644	28.4353240365764	28.9296857297102	28.6188703321683
Gckr	32.6694953332334	32.604451364547	32.7530732044466	32.471969122912	33.2596602613661	32.8168936761842	33.3255679559146	33.7685683716771
Hmgb1	31.4907314276721	31.4184152998034	31.4966581209569	31.4038991936898	31.4428769146417	30.7467735451356	31.6474680358238	31.7472500671453
Kiaa0020	25.1796223793321	25.3761348575657	25.3080972989622	25.5416493817195	24.8856529628327	26.261660366656	24.9846448416721	25.2919099264668
Nfu1	28.4440311462432	28.2602060783254	27.8776030208686	28.1375337344475	27.7186382631106	23.1531384807996	28.5322427623588	27.7829412975078
Dysf	26.9597093701893	27.1822608193907	27.8738177613262	26.9150242505342	26.6289122534956	27.5113558763141	27.2206206110976	27.242895048964
Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a;Hist1h2aa;Hist2h2ac;Hist2h2aa1	30.2277731095054	32.035219105847	31.3091791993911	26.9520726309362	27.1219239664487	25.3888656680666	29.1803679008822	30.9681721307853
Zfml;Znf638	27.9939563348271	27.5575399773039	27.7611863450524	28.9822392785203	28.2204007007411	28.497355555494	27.7294089571662	27.4484012262324
Tra2a	26.8827671199778	26.6789509789037	26.8540412663717	26.7696722810925	25.5161575153196	26.9993869238098	26.4993974764861	26.7034300307389
Eif4g3	28.3114311754523	28.2375549204275	27.9474143098319	29.0484211307588	28.8546594802693	28.8974398676541	28.5957481893346	28.1991286439526
Tmcc1	25.206884146994	25.1638896828876	24.9443432459398	26.075315786096	25.5180668140158	25.9768141774029	24.8403874864527	25.1214903398665
Plekha5	27.0526970494857	26.179923999665	26.9165337626435	27.0779409892134	27.5977452388767	27.5901166750066	27.6186566518626	27.6967714335374
Ndufa9	31.6184166471894	32.0920073762679	31.7965740384768	32.1277979011349	31.9219741202745	32.4853501167878	31.45010334638	31.9576288764033
Cdh1	28.7104473723467	28.8152099022725	29.0006862060795	28.6316165366093	27.6855124403876	27.3471843057046	27.1738380158268	27.0572310999202
